Company Name,Founded,Headquarters,Key People,Products,Revenue,Number of Employees,Website,,,
Harbin Bank,1997,"Harbin, China",,,,,url|https://www.hrbb.com.cn,,,
Rite Aid Corporation,,", ","Unbulleted list
| Jeffrey Stein, chief restructuring officer and CEO<ref>cite web | url=https://www.riteaid.com/corporate/governance/management-team | title=Management Team </ref><ref>cite web | url=https://www.abc27.com/local-news/rite-aid-files-for-chapter-11-bankruptcy-names-new-ceo/ | title=Rite Aid files for Chapter 11 bankruptcy, names new CEO | date=October 16, 2023 </ref>
| Matt Schroeder, CFO","Pharmacy, grocery store, liquor store","increase US$| 24.04 billion|link=no small|(Fiscal year|FY2021)<ref name=YY>cite web |title=Rite Aid |url=https://finance.yahoo.com/quote/RAD/financials?p=RAD|website=Yahoo Finance |access-date=October 28, 2021</ref>","31,000 small|(2024)",,,,
Snap-on Incorporated,,", ",ubl| Nicholas T. Pinchuk (Chairman & CEO) |Aldo J. Pagliari (CFO),Professional automotive and industrial tools and equipment,increase US$|4.73 billion|link=yes (2023),"circa|13,200",,,,
Aramark,"*Start date and age|1936 (as Davidson Brothers)
*start date and age|1959 (as Automatic Retailers of America)","nowrap|Philadelphia, Pennsylvania, United States","plainlist|<ref>Cite web | url=https://www.aramark.com/about-us/leadership | title=Leadership </ref>
* John Zillmer (Chief executive officer|CEO)
* Stephen Sadove (chairman)
* Marc Bruno (Chief operating officer|COO, US)
* Carl Mittleman (COO, International)",Managed Services|Outsourcing,increase US$|18.9 billion|link=yes (2023),"262,550 (2023)",URL|aramark.com,,,
Newell Brands Inc.,,", ",Unbulleted list|Robert Steele (chairman)|Chris Peterson (Chief executive officer|CEO),"unbulleted list|
* Stationery
* Writing implements
* Baby products
* Aroma compound|Fragrances
* Outdoor recreation
* Home appliances
* Food storage containers",decrease US$|8.13 billion|link=yes (2023),"circa|24,600 (2023)",URL|newellbrands.com,,,
"Will Semiconductor Co., Ltd. Shanghai",,", ",Yu Renrong (Chairman)<br>Wang Song (CEO),,Increase CNY|link=yes|21.02 billion (2023),"4,800 (2023)",,,,
Maroc Telecom,,", ","Abdeslam Ahizoune, Chairman & Chief Executive Officer|CEO<br/>Laurent Mairot, Chief Financial Officer|CFO","Landline|Landline phones, Mobile phone|Mobile phone lines, Fiber-optic communication|Fiber-optic Internet, Asymmetric digital subscriber line|ADSL, 4G|4G+","increase US$ 3,6 billion (2018)","10,609 (2018)",,,,
Magazine Luiza S.A.,,", ",CEO: Frederico Trajano <br/> Chair: Luiza Trajano,,"Brazilian Real|R$ 56 billion <small>(2021)</small><ref name=""RI21"">cite web| url=https://ri.magazineluiza.com.br/Download.aspx?Arquivo=TgeqoHBxWBDn/KtQXgwMog== | title=Earnings Release 2021 | pages=2, 8, 9 | date=15 March 2021 | access-date=11 July 2022 | website=Magazine Luiza IR</ref>",,,,,
Zenith Bank Plc,,", ","Adaora Umeoji (CEO)<ref name=""Channelsnews"">cite news| url=https://www.channelstv.com/2024/03/19/zenith-bank-appoints-adaora-umeoji-as-first-female-gmd-ceo/|title=Zenith Bank Appoints Adaora Umeoji As First Female GMD/CEO|last=Egobiambu|first=Emmanuel|date= March 19, 2024|publisher=Channels TV</ref>",,$854m (2019),,,,,
,"Start date and age|1916|07|06|df=yes<ref name=""gemi"" />","Athens, Greece<ref name=""gemi"" />","Unbulleted list|Christos Megalou (Chief executive officer|CEO)|George Handjinicolaou (Chairperson)<ref name=""bod"">cite web |title=Board Members |url=https://www.piraeusholdings.gr/en/investors/corporate-governance/board/piraeus-financial-holdings-board-of-directors |website=Piraeus Financial Holdings |access-date=23 January 2023</ref>",,"Unbulleted list|class=nowrap|Increase €2.582 billion (2022)<ref name=""fy22excel"">cite web |title=FY 2022 DATA OF PIRAEUS FINANCIAL HOLDINGS |url=https://www.piraeusholdings.gr/~/media/Com/2022/Files/investors/financials/FY2022-results-24022023/IRToolWebsite-FY2022-v10--to-send.xlsm |website=Piraeus Financial Holdings |access-date=24 February 2023</ref><ref name=""fy22press"" />","8,604<ref name=""fy22press"" />",URL|www.piraeusholdings.gr,,,
Lotte Chemical Corporation,Start date and age|1976,"Seoul, South Korea",,,,,URL|www.lottechem.com/en/index.do|www.lottechem.com,,,
Roblox,,", ",,,,,hide,,,
Shaw Communications Inc.,,"Calgary, Alberta, Canada","plainlist|
* Bradley S. Shaw (Chief Executive Officer|CEO)
* Paul McAleese (President (corporate title)|president, Chief operating officer|COO of Freedom Mobile)<ref name=AnnualReport>cite web|url=https://www.shaw.ca/Corporate/Investors/Senior-Leadership/|title=Shaw Senior Leadership|publisher=Shaw Communications Inc.|access-date=April 9, 2020|archive-date=September 17, 2016|archive-url=https://web.archive.org/web/20160917195057/http://www.shaw.ca/Corporate/Investors/Senior-Leadership/|url-status=dead</ref><ref name=""new freedom coo"">cite web|last1=Hardy|first1=Ian|title=Alek Krstajicwasstepping down as CEO of Freedom Mobile|url=http://mobilesyrup.com/2017/04/12/alek-krstajic-ceo-freedom-mobile-departure/|website=MobileSyrup|access-date=July 10, 2017|date=April 12, 2017</ref>","Cable television, Internet access|high speed internet, Telephony|telephone, satellite television, network and specialty broadcasting, logistics tracking, radio","increase Canadian dollar|CAD $5.509 billion <small>(2021)</small> <ref name=""downloads.ctfassets.net"">cite web|url=https://downloads.ctfassets.net/tzb4ihmthaev/2AKjuVekLncLaHEy35jOJZ/0438b6b5aa147ceb15f4027aeaeb9861/SCI_-_F_21_Annual_Report__Filing_version_.pdf|title=Shaw 2021 Annual Report|archive-url=https://web.archive.org/web/20211101155223/https://downloads.ctfassets.net/tzb4ihmthaev/2AKjuVekLncLaHEy35jOJZ/0438b6b5aa147ceb15f4027aeaeb9861/SCI_-_F_21_Annual_Report__Filing_version_.pdf|archive-date=November 1, 2021|url-status=live</ref>","9,500 (2020)",,,,
"Alpha Services and Holdings S.A.<ref name=""gemi"">cite web |title=Στοιχεία Δημοσιότητας |url=https://www.businessregistry.gr/publicity/show/223701000 |website=Business Registry |publisher=Union of Hellenic Chambers Of Commerce |access-date=23 January 2023 |language=el</ref>","Start date and age|1918|03|10|df=yes<ref name=""gemi"" /> in Kalamata, Greece<ref name=""history"" />","Athens, Greece<ref name=""gemi"" />","Unbulleted list|Vassilios Psaltis (Chief executive officer|CEO)|Vassilis Rapanos (Chairperson)<ref name=""bod"">cite web |title=Board of Directors |url=https://www.alphaholdings.gr/en/corporate-governance/administrative-structure/board-of-directors |website=Alpha Services and Holdings |access-date=23 January 2023</ref>",,,,URL|www.alphaholdings.gr,,,
Novonesis A/S,,", ",Unbulleted list|Cees de Jong (chairman (official)|Chairman)| Ester Baiget (President and chief executive officer|CEO),"Enzymes, microorganisms,  biopharmaceutical API|ingredients","increase DKK|17.5 billion|link=yes (2022)<ref name=""AR2022"">cite web |title=The Novozymes Report 2022|url=https://report2022.novozymes.com/PDF_The_Novozymes_Report_2022.pdf |work=Novozymes |date=1 January 2023 |access-date=13 August 2023</ref>","6,781  (2022)<ref name=""AR2022"" />",,,,
EQT AB,"Start date|1994 in Sweden<ref name=""ft"" />","Stockholm, Sweden","ubl|Conni&nbsp;Jonsson (chairman)<ref name=""con"" />|Christian&nbsp;Sinding (CEO)<ref>Cite web |access-date=15 October 2022 |title=Christian Simding |website=EQT |url=https://eqtgroup.com/about/people/christian-sinding |archive-date=30 September 2022 |archive-url=https://web.archive.org/web/20220930031655/https://eqtgroup.com/about/people/christian-sinding |url-status=live</ref>",,"increase&nbsp;€1.6&nbsp;billion smaller|(2021) (company)<ref name=""eqt21"" />","1,160<ref name=""eqt21"">Cite web|url=https://eqtgroup.com/news/2022/eqt-ab-publ-year-end-report-2021|title=EQT AB (publ) Year-end Report 2021|date=19 January 2022|website=EQT|access-date=15 October 2022|archive-date=29 September 2022|archive-url=https://web.archive.org/web/20220929010612/https://eqtgroup.com/news/2022/eqt-ab-publ-year-end-report-2021|url-status=live</ref>",URL|eqtgroup.com,,,
"Medical Properties Trust, Inc.",,", ","Edward K. Aldag, Jr., Chairman & CEO<br>R. Steven Hamner, CFO<br>Emmett E. McLean, Chief operating officer|COO",,increase $1.544 billion (2021),86 (2019),,,,
Smith & Nephew plc,,", ",Rupert Soames (Chairman)<br> Dr Deepak Nath (CEO)<ref>cite web|url=https://www.smith-nephew.com/about-us/who-we-are/our-board/|title=Our board|publisher=Smith & Nephew|access-date=27 February 2021</ref>,Medical equipment,"increase Dollar|$5,549&nbsp;million (2023)<ref name=results>cite web| url=https://smith-nephew.stylelabs.cloud/api/public/content/f915a034ba8b4d078072f558a3dec4d6?v=a1a7060c&download=true|title=Annual Results 2023|access-date=27 February 2024|publisher=Smith & Nephew plc</ref>","20,000 (2023)<ref>cite news|url=https://www.business-live.co.uk/manufacturing/upbeat-assessment-smith--nephews-26291453|title=Upbeat assessment of Smith & Nephew's performance as it awaits major planning decision|date=21 February 2023|newspaper=Business Live| access-date=21 February 2023</ref>",,,,
PT Bank Negara Indonesia (Persero) Tbk,,", ","'''Royke Tumilaar'''<ref>cite web|url=https://www.bni.co.id/en-us/company/aboutbni/director|title=BNI Board of Directors|website=PT Bank Negara Indonesia (Persero) Tbk.|access-date=22 April 2020|archive-date=16 July 2023|archive-url=https://web.archive.org/web/20230716030220/https://www.bni.co.id/en-us/company/aboutbni/director|url-status=live</ref>, <small>(Chief executive officer|President Director/CEO)</small>, '''Pradjoto'''<ref>cite web|url=https://www.bni.co.id/en-us/company/aboutbni/commisioners|title=BNI Board of Commissioners|website=PT Bank Negara Indonesia (Persero) Tbk.|access-date=22 April 2020|archive-date=16 July 2023|archive-url=https://web.archive.org/web/20230716030208/https://www.bni.co.id/en-us/company/aboutbni/commisioners|url-status=live</ref>, <small>(Board of directors|President Commissioner)</small>","Retail banking|Consumer Banking, Commercial bank|Corporate Banking, Credit cards, Investment banking, Mortgage loans, Private banking",profit IDR 36.6 Trillion (short scale)|trillion <small>(2019)</small><ref name=prelims/>,"27,177 <small>(2021)</small>",,,,
"Amadeus IT Group, S.A.",,", ",unbulleted list|José Antonio Tazón|(chairman)|Luis Maroto|(President (corporate title)|president and Chief executive officer|CEO),"Travel reservation and booking, Travel management, distribution, booking, Analytics",Increase €|2.67 billion|link=yes (2021)<ref name=AR>cite web |url=https://corporate.amadeus.com/documents/en/investors/2021/quarterly-results/q4/fy2021-consolidated-accounts.pdf | title=Amadeus FY2021 consolidated financial report | publisher=Amadeus |pages=11–12</ref>,"decrease 16,433 (end 2021)<ref name=GR>cite web |url=https://corporate.amadeus.com/documents/en/resources/corporate-information/corporate-documents/global-reports/2021/amadeus-global-report-2021.pdf | title=Amadeus Global Report 2021 | publisher=Amadeus |page=76</ref>",,,,
RPM International Inc.,,", ","Frank C. Sullivan small|(Chairman and CEO), Russell L. Gordon small|(CFO)",,,17300,,,,
Ingersoll Rand Inc.,,", ",Vicente Reynal nowrap|(Chairman and CEO),"Compressor, vacuum and blower solutions; specialized gas and fluid management systems; liquid and precision pumps and compressors; power tools and lifting equipment",increase US$|6.88 billion|link=yes (2023),"circa|18,000 (2023)",official website|irco.com|irco.com,,,
Palantir Technologies Inc.,Start date and age|2003,", ","plainlist|
* Peter Thiel (chairman)
* Alex Karp (Chief executive officer|CEO)
* Stephen Cohen (President (corporate title)|president)","plain list|
* Palantir Gotham
* Palantir Foundry
* Palantir Apollo",nowrap|increase US$|2.23 billion|link=yes (2023),"3,735 (2023)",url|https://www.palantir.com/|palantir.com,,,
"Eurobank Ergasias Services and Holdings S.A.<ref name=""gemi"">cite web |title=Στοιχεία Δημοσιότητας |url=https://www.businessregistry.gr/publicity/show/223001000 |website=Business Registry |publisher=Union of Hellenic Chambers Of Commerce |access-date=23 January 2023 |language=el</ref>","Start date and age|1924|03|19|df=yes<ref name=""gemi"" /> in Athens, Greece<ref name=""history"" />","Athens, Greece<ref name=""gemi"" />","Unbulleted list|Fokion Karavias (Chief executive officer|CEO)|George Zanias (Chairperson)<ref name=""bod"">cite web |title=Board Members |url=https://www.eurobankholdings.gr/en/corporate-governance/board-of-directors/the-bod-members |website=Eurobank Holdings |access-date=23 January 2023</ref>",,"Unbulleted list|class=nowrap|Increase €3.135 billion (2022)|€1.900 billion (2021)<ref name=""table22"">cite web |title=2023-2025 Business Plan Update & 2022 Financial Results |url=https://www.eurobankholdings.gr/-/media/holding/omilos/enimerosi-ependuton/enimerosi-metoxon-eurobank/oikonomika-apotelesmata-part-01/2023/fy-2022/4q2022-results-pr-en.pdf |website=Eurobank Holdings |access-date=12 March 2023</ref>","11,328<ref name=""table22"" />",URL|eurobankholdings.gr,,,
STERIS plc,"Start date and age|1985<ref name=""bloomberg""/>",", ",Daniel A. Carestio (President and CEO),,increase US$|5.14 billion|link=yes (2024),18179,url|steris.com,,,
"Chang Hwa Bank, Ltd.<br> 彰化銀行",,", ","Ming-Daw Chang, Chairman of the Board<br>Cheng-Ching Wu, Managing Director,<br>Kuo-Yuan Liang, Managing Director,<br>Jung-Chun Pan, Independent Director,<br>Chi-Chang Yu, Independent Director","Financial services including:, Retail banking|Consumer Banking, Commercial bank|Corporate Banking, Investment Banking, brokerage firm|Stock broking",profit NT$ 14.184 billion (Fiscal year|2017)<br>(United States dollar|US$ 472 million),"6,592 (2017)",,,,
"China Railway Signal & Communication Corporation
Limited",2010,"Beijing, China",Zhou Zhiliang (Chairman),,34.4 billion CNY<ref name=annual_report_2017/>,,<!-- URL|www.crsc.cn -->,,,
"Dai Nippon Printing Co., Ltd",Start date and age|1876|10|09,"Tokyo, Japan",Yoshitoshi Kitajima (president),"IC tag, thermal transfer ribbons, smart card, shadow mask, photomask, building material","¥|1,466,400,000,000|link=yes (as of March 31, 2023)<ref name=""forbes"">cite web|url = https://www.forbes.com/companies/dai-nippon-printing/|title = Dai Nippon Printing on the Forbes Global 2000 List|work = Forbes.com|access-date = 14 December 2023</ref>","38,246 (consolidated, 2023)<ref name=""forbes"" />",URL|https://www.dnp.co.jp/eng/,,,
Bilibili,June 2009, 15 years ago,", ","Xu Yi<br>(founder, president & director)<br>Chen Rui<br>(chairman & CEO)<br>Xin Fan (CFO)",,,,,,
PT Perusahaan Rokok Tjap Gudang Garam Tbk,,", ","Rachman Halim|Cai Daoheng a.k.a. Rachman Halim, CEO (1984–2008)",ubl|Cigarettes|Klobot,profit Indonesian Rupiah|Rp 110.5 trillion (2019),"32,491 <small>(2019)</small>",,,,
Murphy USA,start date and age|1996 (became independent in start date and age|2013 as corporate spin-off|spin-off of Murphy Oil),", ","plainlist|
* R. Andrew Clyde (President and CEO)<ref name=governance>cite web|url=https://ir.corporate.murphyusa.com/investor-relations/governance/leadership--team/default.aspx|title=Leadership Team|publisher=Murphy USA|accessdate=June 13, 2024</ref>
* Mindy West (EVP and COO)<ref name=governance />
* Galagher Jeff (EVP and CFO)<ref name=governance />
* Blake Segal (SVP and Head of QuickChek)<ref name=governance />",,,15000,,,,
The Commercial Bank(P.S.Q.C.),,", ",,"UPI India, Retail banking, Enterprise Banking, Corporate banking",,2233,,,,
"Match Group, Inc.",Start date and age|2009|02,", ",Thomas J. McInerney (executive)|Thomas J. McInerney (chairman)<br>Bernard Kim (Chief executive officer|CEO)<br>Gary Swidler (Chief financial officer|CFO & President (corporate title)|president),,Increase US$|3.36 billion|link=yes (2023),"2,600 (2023)",URL|https://mtch.com,,,
Ford Otomotiv Sanayi A.Ş.,,", ",Rahmi Koç (President (corporate title)|President),"Automobiles, light commercial vehicles, trucks","increase US$14.46 billion (2023)<ref name=""Ford Otosan 2023 Annual Report"">cite web |title=Ford Otosan 2022 Annual Report |url=https://www.fordotosan.com.tr/documents/Documents/Finansal_Duyurular/2022-earnings-announcement.pdf|publisher=Ford Otosan |pages=4 |language=en</ref>","23.701 (2023)<ref name=""Ford Otosan 2023 Annual Report""/>",,,,
Johnson Matthey plc,,", ",ubl|wd-chairperson|wd-ceo,"Catalytic converter|Emission control catalysts, industrial catalysts, Absorption (chemistry)|absorbents, Process engineering|process technologies, fine chemicals, Active ingredient|active pharmaceutical ingredients, Product (chemistry)|chemical products, Medical device|medical device components, Glass coloring and color marking|colours, coatings, Fuel Cell|fuel cell technology, Battery (electricity)|battery technology","decrease Pound sterling|£14,933&nbsp;million (2023)<ref name=AR>Cite web|url=https://matthey.com/documents/161599/3125324/Johnson+Matthey+2023+Annual+Report+and+Accounts.pdf|title=Annual Report 2023|publisher=Johnson Matthey Plc|access-date=13 February 2024</ref>","12,666 (2023)<ref name=AR/>",,,,
Delivery Hero SE,,", ",,,"€5,856 million (2021)","47,981 (2023)",,,,
Showa Denko K.K.,,"Tokyo, Japan","Mitsuo Ohashi (chairman), Hideo Ichikawa (president & CEO)",unbulleted list|Inorganics| Aluminium|Electronics|Chemicals,,"15,778 (2008)",,,,
AngloGold Ashanti Limited,,", ","Maria Ramos, <small>(chairman of the Board of directors|board)</small>, Christine Ramon, <small>(Interim CEO)</small>","Gold, Silver, Uranium oxide",profit US$4.400&nbsp,billion <small>(2020)</small>,"70,000 – <small>June 2020</small>",URL|www.anglogoldashanti.com,,
Credit Bank of Moscow,1992,"Moscow, Russia",Roman Avdeev,,wikidata revenue|revenue|USDwikidata revenue|revenue|ref,,,,,
PTT Global Chemical Public Company Limited,,", ",ubl | Kongkrapan Intarajang (CEO) | Piyasvasti Amranand (chairman),hlist|Petroleum|aromatics|olefins|Polymers|High-volume specialties,"decrease 422,973.52 M฿ (2019)",,,,,
"DGB Financial Group Co., Ltd.",Start date and age|2011|05|17,"Daegu, South Korea",,,,,URL|www.dgbfg.co.kr/main.fg|www.dgbfg.co.kr,,,
BayWa AG,Start date and age|1923,"Munich, Bavaria, Germany","unbulleted list|Klaus Josef Lutz, <small>(chief executive officer|Chief Executive Officer and Chairman of the Management Board)</small>|Manfred Nüssel, <small>(Chairman of the Supervisory Board)</small>","Trading of agriculture|agricultural products, fertilizer|fertiliser and seeds, sale of Agricultural machinery|agricultural equipment, fruit Distribution (business)|distribution",increase €27.1 billion,"increase 22,508",URL|baywa.com/en,,,
CPFL Energia S.A.,,", ",Gustavo Estrella <small>(CEO)</small>,Electric power,"increase US$ 8.0&nbsp;billion <small>(2017)</small><ref>Cite web|url=http://economia.estadao.com.br/noticias/economia+negocios,cpfl-energia-tem-queda-no-lucro-e-na-geracao-de-caixa-no-4o-tri,60443,0.htm|title=Jornal britânico elege uniforme do Brasil de 70 o mais bonito - Esportes|access-date=2011-03-29|archive-date=2012-03-18|archive-url=https://web.archive.org/web/20120318103147/http://economia.estadao.com.br/noticias/economia+negocios,cpfl-energia-tem-queda-no-lucro-e-na-geracao-de-caixa-no-4o-tri,60443,0.htm|url-status=dead</ref>",7924,,,,
"West Pharmaceutical Services, Inc.",,", ","Eric M. Green <small>(chief executive officer|CEO since 2015)</small>
<ref name=report>cite web|last1=West Pharmaceutical Services|title=Annual Report 2019|url= https://investor.westpharma.com/static-files/365eca5d-5550-4c4f-bfb5-1231f6d49e07 |publisher=West Pharmaceutical Services|date=2019</ref>

Silji Abraham <small>(Chief Digital Officer|CDO since 2018)</small><ref name=report/>

Bernard J. Birkett <small>(chief financial officer|CFO since 2018)</small><ref name=report/>

Annette F. Favorite <small>(Chief Human Resource Officer|CHRO since 2015)</small><ref name=report/>

Quintin J. Lai <small>(Corporate Development, Strategy and Investor Relations since 2016)</small><ref name=report/>

George L. Miller <small>(General Counsel|GC and Corporate Secretary|CS since 2015)</small><ref name=report/>

David A. Montecalvo <small>(Chief Operations Officer|COO and Supply Chain Officer|SCO since 2019)</small><ref name=report/>

Eric Resnick <small>(Chief Technology Officer|CTO since 2016)</small><ref name=report/>",,"US$|1,849.9 million <small>(2019)</small><ref name=report/>","8,200 <small>(2019)</small><ref name=report/>",URL|https://westpharma.com,,,
"Avantor, Inc.",Start date and age|1904,", ","Michael Stubblefield, (CEO and President)",,US$|6.967 billion|link=yes<ref name=fortune>Cite web |title= Avantor: Company's statistics in 2024|url=https://fortune.com/company/avantor/| archive-url= https://archive.today/20240806024214/https://fortune.com/company/avantor/| date=2024-06-04|archive-date=2024-08-06|website=Fortune</ref>,"14,500 (December 2023)<ref>Cite web |title=Avantor, Inc. Profile |url= https://finance.yahoo.com/quote/AVTR/profile/|date=2023-12-31 |website=Yahoo Finance</ref>",URL|avantorsciences.com,,,
Franco-Nevada Corporation,,", ","David Harquail (Chair), Paul Brink (President & CEO), Sandip Rana (CFO)",Gold Royalty payment|Royalties and Precious metals streaming|Streams,"Increase USD|1.300 billion|link=yes (2021)<ref name=""AR21"">[https://s21.q4cdn.com/700333554/files/doc_news/2022/Franco-Nevada-Reports-2021-Results.pdf ''2021 Results''.] franco-nevada.com. Retrieved 11 March 2022</ref>",,,,,
Deutsche Pfandbriefbank,"<!-- if known: Start date and age|YYYY|MM|DD in city, state, country -->","Garching, Munich (district), Upper Bavaria, Germany",,,,,<!-- URL|example.com -->,,,
"Sekisui Chemical Company, Limited",,", ","Keita Kato (CEO, President)",,,27000,,,,
"Darden Restaurants, Inc.",,", ",Unbulleted list| Cynthia T. Jamison (chairman|chair)|Rick Cardenas (President (corporate title)|president & Chief executive officer|CEO),,increase US$|11.4&nbsp,billion|link=yes (2024),"191,105 (2024)",url|darden.com,,
Algonquin Power and Utilities Corp.,,", ",Chris Huskilson (Chief executive officer|CEO),,U$1.6 B (2020),"3,400 (2020)",,,,
Kirkland Lake Gold Inc.,End date|1988|07|27,"Toronto, Ontario, Canada","Brian Hinchcliffe, Chief Executive Officer|CEO (2001-13),<br>George Ogilvie, CEO (2013-16),<br>Anthony Makuch, CEO (2016-22)",Gold,,,,,,
"EPAM Systems, Inc.",Start date and age|1993,"Newtown, Bucks County, Pennsylvania|Newtown, Pennsylvania, U.S.","Arkadiy Dobkin nowrap|(chairman, president & CEO)",,nowrap|decrease US$|4.69 billion|link=yes (2023),"65,149 (2024)",URL|epam.com,,,
"CoStar Group, Inc.",Start date and age|1987,", ","Plainlist|
* Andrew C. Florance (President (corporate title)|president and CEO)
* Scott T. Wheeler (CFO)
* Michael R. Klein (chairman",,increase US$|2.46 billion|link=yes (2023),"6,152 (as of|2024|1|31|df=US|lc=y)",URL|costargroup.com,,,
S-Oil Corporation,,"Seoul, South Korea",Anwar A. Al-Hejazi small|(CEO),,profit US$34.4 billion (2023),,URL|http://s-oil.com/,,,
"Palo Alto Networks, Inc.",Start date and age|2005,", ",Nikesh Arora (Chief executive officer|CEO),"PA 220, 4x0, 8x0, 32x0, 34x0, 54x0, 70x0, VM, CN firewall series<ref>Cite web|url=https://docs.paloaltonetworks.com/hardware.html|title = Firewalls & Appliances</ref>, Prisma SASE<ref>Cite web|url=https://www.paloaltonetworks.com/sase|title=Prisma SASE|website=Palo Alto Networks</ref> Prisma Cloud, Cortex Extended detection and response|XDR, Cortex Xpanse, Cortex XSOAR, Cortex XSIAM",nowrap|Increase US$|8.03 billion|link=yes,15289,URL|paloaltonetworks.com,,,
Swedish Match AB,,", ","Conny Karlsson,  <small>(Chairman)</small>,  Lars Dahlgren,  <small>(President and chief executive officer|CEO)</small>","Snus, nicotine pouches, moist snuff, tobacco- and nicotine-free pouch products, chewing tobacco, chew bags, tobacco bits, cigars, matches, lighters, fire product","Increase SEK|18.489 billion|link=yes (2021)<ref name=""AR2021"">cite web |url=https://www.swedishmatch.com/globalassets/reports/annual-reports/2021_swedishmatchannualreport_interactive_en.pdf |title=Annual report 2021 |publisher=Swedish Match AB |pages=80–81, 94 |access-date=March 27, 2022</ref>","Increase 7,523 (2021)<ref name=""AR2021"" />",,,,
Credito Emiliano,1910,"Reggio Emilia, Italy",,,,,[http://www.credem.it credem.it],,,
OJSC JSFC Sistema,,", ",Unbulleted list|Vladimir Yevtushenkov Small||,Unbulleted list|Telecommunications|Banking|Real Estate|Retail|Media (communication)|Media|Tourism|Space Technology|Health care|Medical Services|Biotechnology,wikidata revenue|revenue|USDwikidata revenue|revenue|ref,70000,,,,
Angang Steel Company Limited,,", ","Old Chairman: Mr. Zhang Xiaoyang Liu

Current Chairman : Yao Lin",Steel,,,,,,
Barry Callebaut AG,,", ","* Patrick De Maeseneire, Chairman
* Peter Feld, CEO<ref name=""Reuters II"">cite news |url=https://www.reuters.com/business/retail-consumer/chocolate-maker-barry-callebauts-half-year-sales-volumes-drop-2023-04-05/|title=Barry Callebaut changes CEO and cuts sales guidance|newspaper=Reuters|date=5 April 2023|access-date= 22 August 2023</ref>","Cocoa and Chocolate<ref name=""results"">cite news |url= https://www.reuters.com/article/barry-callebaut-results/barry-callebaut-confirms-guidance-after-solid-9-months-idUSFWN24B0VR |title= Barry Callebaut confirms guidance after solid 9 months |newspaper= Reuters |date= 11 July 2019 |access-date= 29 October 2019 </ref><ref name=""AR 2020-21"">cite web |url=https://www.barry-callebaut.com/sites/default/files/2021-11/Barry_Callebaut_Annual_Report_2020-21_0_0.pdf |title=Annual report 2020/2021|access-date= 10 November 2021</ref>",#statements:P2139|from=Q809018 <small>(2023/2024)</small>,"#statements:P1128|from=Q809018 <small>(2023/2024)</small><ref name=""AR 2023-24"">cite web |url=https://www.barry-callebaut.com/sites/default/files/2024-11/Barry_Callebaut_Annual_Report_2023-24.pdf |title=Annual report 2023/2024|access-date= 11 November 2024</ref>",,,,
A2A S.p.A.,,", ","Marco Patuano (Chairman), Renato Mazzoncini (CEO and Managing Director)<ref name=""Governance a2a"">cite web|url=https://www.a2a.eu/en/governance_en|title=Governance a2a|publisher=a2a.eu|language=English|access-date=24 May 2020</ref>",,"€6,862 million <ref name = ""RO2020"">cite web |url=https://a2a-be.s3.eu-west-1.amazonaws.com/a2a/2021-05/report-on-operations-31-december-2020.pdf|title=Report on Operations 2020|access-date=23 July 2021</ref>","12,978 <ref name=""RO2020"" />",,,,
"First Pacific Company Limited ,  第一太平有限公司",,", ","Anthoni Salim <small> (Chairman)</small><br>Manuel V. Pangilinan <small>(Managing Director, CEO)</small>",,,,,,,
Proximus,,"Brussels, Belgium",Ill|Guillaume Boutin|nl,"Mobile phone|Mobile telephony, Internet access#Mobile broadband|Mobile broadband",,,URL|https://proximus.be/,,,
Tele2 AB,,", ","Carla Smits-Nusteling (Chairman), Jean-Marc Harion (Chief executive officer|CEO)","Tele2 has now grown to cover mobile and fixed connectivity, telephony, data network services, TV, streaming and Internet of Things, amongst other things","Swedish krona|kr 29.099 billion, EUR|€2.534 billion (2023)<ref>cite|title= Financial Summary |url= https://www.tele2.com/investors/financial-summary/ |website=tele2.com</ref>","4,438 (2022)",,,,
"LT Group, Inc.",,", ","Lucio C. Tan <ref name=""auto1""/> <br> <small>(Chairman and Chief executive officer|CEO)</small><br> Lucio C. Tan III <br>  <small>(President (corporate title)|President and Chief operating officer|COO)</small><br> Jose Gabriel D. Olives <small>(Chief financial officer|CFO)</small>",,"Philippine peso|PHP 91.2 billion (2021) <ref name=""auto""/>",,,,,
"Peloton Interactive, Inc.",Start date and age|2012|1|3,", U.S.",ubl|Karen Boone (Interim CEO)|Peter Stern (CEO starting 2025)|Jay Hoag (chairperson),Stationary bicycles and treadmills,decrease US$|2.701 billion|link=yes (2024),"2,918 (2024)efn|2,322 in the US; 596 internationally<ref name=10K />",URL|onepeloton.com,,,
"Ulta Beauty, Inc.",,", ",Dave Kimbell (Chief executive officer|CEO),,increase US$11.2 billion (2023),56000,URL|ulta.com,,,
Invitation Homes Inc.,Start date and age|2012,", ","ubl|Dallas B. Tanner (CEO), Charles Young (President/COO), Jon Olsen(CFO)",Leasehold estates,nowrap|increase US$|1.997 billion|link=yes (2021),"1,240 (December 2021)",URL|invitationhomes.com,,,
Carvana Co.,Start date and age|2012,", ","Ernest Garcia III nowrap|(chairman & Chief executive officer|CEO), Dan Gill nowrap|(Chief product officer|CPO)",Used cars,decrease US$|10.8 billion|link=yes (2023),"circa|13,700 (2023)",URL|carvana.com,,,
